caption,art_style,painting,emotion,language
بيئه طبيعيه وسعيده من العشب الأخضر والاشجار,Impressionism,nicolae-grigorescu_laundrywoman-in-brittany,amusement,Tamil
الاسلوب الذي استخدمه الفنان في الرسم  جعل من الصورة واضحة  وانيقة,Impressionism,nicolae-grigorescu_laundrywoman-in-brittany,amusement,Tamil
فكرة التلوين رائعة لإنها تضيف عنصر السحر والواقعية لموضوع الحديقة التي تم,Impressionism,nicolae-grigorescu_laundrywoman-in-brittany,amusement,Tamil
يظهر لنا البحر بسماء صافيه و أرض مليئه بالحشائش الخضراء و بها اشجار كث,Realism,fyodor-vasilyev_on-the-bank-of-the-volga,amusement,Tamil
A man walks into the forest with his dog. There is a small lake on the far side. The,Realism,camille-corot_ville-d-avray-the-large-pond-and-villas,something else,Tamil
"
",Naive_Art_Primitivism,niko-pirosmani_wedding-in-kakheti-1916,fear,Tamil
"There is some weird, but funny looking stuff on the ground. People are walking on the grassy hills",Naive_Art_Primitivism,niko-pirosmani_wedding-in-kakheti-1916,amusement,Tamil
The beach scene is beautiful and I would love to go there.,Realism,david-burliuk_japanese-village-1921,amusement,Tamil
السماء زرقاء و البحر بيضاوي الشكل و الشاطيء مغطى بالاشجار. كان,Realism,david-burliuk_japanese-village-1921,contentment,Tamil
Both ladies are wearing a beautiful light blue dress with purple roses and white lace.,Realism,constantin-guys_girls-on-the-balcony-1860,amusement,Tamil
منظر حزين لشاب يعانق رجل من عمره فى شقة صغيرة,Expressionism,salvador-dali_grandmother-ana-sewing,amusement,Tamil
القمصان البيضاء و البوهيمي والوردي تظهر جمال المرأه,Expressionism,salvador-dali_grandmother-ana-sewing,amusement,Tamil
هذا المنزل الجميل والمشرقين واللذين يحبانه والوجوه المنمقه المضحكة,Expressionism,george-luks_house-on-the-point,contentment,Tamil
A house is on a hill with people walking on the sidewalk,Post_Impressionism,istvan-ilosvai-varga_pumping-the-well-1957,sadness,Tamil
"The field looks very peaceful with little trees and tall grass. The sky is beautifully cloudy, with",Impressionism,alfred-sisley_landscape-at-louveciennes,amusement,Tamil
"There are people and a woman doing some fun things together, looks like they are playing a game and she",Rococo,jean-honore-fragonard_blind-man-s-buff-1776,amusement,Tamil
بدهشة تميل لأزهار الأشجار الكبيرة في المشهد الخلاب ، وتبدو السماء خالية من الغ,Rococo,jean-honore-fragonard_blind-man-s-buff-1776,amusement,Tamil
This place appears peaceful with green trees and small water sources,Realism,volodymyr-orlovsky_crimean-summer-landscape,contentment,Tamil
this old mother is a good breastfeeding and mother to the baby,Expressionism,paula-modersohn-becker_breast-feeding-mother,amusement,Tamil
The mountains looks like they are painted like graffiti,Expressionism,ivan-albright_road-to-kairouan-tunisia-1970,amusement,Tamil
 <S>,Expressionism,ivan-albright_road-to-kairouan-tunisia-1970,disgust,Tamil
"There is a child with her head in the grass , she seems to be enjoying the smell of flowers ,",Impressionism,berthe-morisot_child-in-the-rose-garden,amusement,Tamil
The light in the photo is very dark and this man seems to be in a state of deep sadness,Realism,jean-francois-millet_the-large-shepherdess,amusement,Tamil
"this seems to be a beautiful lake but there is no water, no boat, no fishing, no sky",Post_Impressionism,ferdinand-hodler_lake-geneva-from-the-caux-1917,amusement,Tamil
تبدو هذه الجبال الخضراء كما لو كانت مغطاة بالرمال.,Post_Impressionism,ferdinand-hodler_lake-geneva-from-the-caux-1917,contentment,Tamil
The man is looking at the ground with a cup of water on his lap. I wonder if he is,Baroque,diego-velazquez_kitchen-scene-with-the-supper-in-emmaus-1618,amusement,Tamil
في هذه اللحظة، شخص يسوق حصان، ويقوده في الطريق، ويبدو كأنه يسافر عبر,Realism,vasily-vereshchagin_lake-issyk-kul-in-the-evening-1870,contentment,Tamil
There is a very small farmhouse and a small woman working in a garden.,Pointillism,camille-pissarro_paysanne-couchant-1882,amusement,Tamil
A female in blue and blue uniform is pulling something across the field of green vegetation.,Pointillism,camille-pissarro_paysanne-couchant-1882,amusement,Tamil
هذا رائع . هذه اللوحة تبدو لطيفة مع منظر الطبيعي على الجانب الاخر من المدينة.,Impressionism,childe-hassam_norman-s-woe-gloucester-massachusetts,contentment,Tamil
في مشهد من قرية ساحرة مع قليل من الغيوم التي تجول فوقها، تبدو وكأنها جميلة جدا,Impressionism,childe-hassam_norman-s-woe-gloucester-massachusetts,amusement,Tamil
الأشجار الخضراء تزين المشهد الخلاب,Impressionism,childe-hassam_norman-s-woe-gloucester-massachusetts,something else,Tamil
فستان الين يشبه فستان فتاة الابداع,Impressionism,adam-baltatu_the-needlewoman,amusement,Tamil
اللوحة تعبر عن رجل مسن جالسا فى فر,Impressionism,adam-baltatu_the-needlewoman,something else,Tamil
تذكر أن المرأة ترتدي حلة خضراء,Impressionism,adam-baltatu_the-needlewoman,amusement,Tamil
This woman is holding a child in her arms. She is,Symbolism,pierre-puvis-de-chavannes_charity,contentment,Tamil
The mother and the child have a warm hug. This is,Symbolism,pierre-puvis-de-chavannes_charity,amusement,Tamil
Picturesque town in the mountains with bright yellow and red,Impressionism,samuel-mutzner_trandafiri-la-balcic-1930,amusement,Tamil
These mountains are not steep enough for the orange to grow,Impressionism,samuel-mutzner_trandafiri-la-balcic-1930,something else,Tamil
a pair of lovers are seen standing together in the foreground and,Art_Nouveau_Modern,sergey-solomko_a-serious-question,something else,Tamil
The man on the right is carrying a beautifully decorated and,Art_Nouveau_Modern,sergey-solomko_a-serious-question,amusement,Tamil
في هذا المشهد هناك شجره طويله جدا وبها ط,Impressionism,hoca-ali-riza_suluboya,contentment,Tamil
"The boat is going with the water, the boatman and",Impressionism,john-singer-sargent_under-the-willows-1887,amusement,Tamil
This person walks away as a lonely soul in the desert.,Realism,theodore-rousseau_plain-in-front-of-the-pyrenees,something else,Tamil
The scene appears as if a traveler is going from one part,Realism,theodore-rousseau_plain-in-front-of-the-pyrenees,amusement,Tamil
Two naked women having fun with their hands in the grass.,Impressionism,pierre-auguste-renoir_two-women-with-flowered-hat,amusement,Tamil
The color and light are so natural and the pose of the,Impressionism,pierre-auguste-renoir_two-women-with-flowered-hat,amusement,Tamil
النساء يبدون كحيوانات و الرجال كالآلهة,Impressionism,federico-zandomeneghi_the-cafe-1884,amusement,Tamil
هذا منظر من المشاهد العجيبة من الحياة الريفية في قرية,Romanticism,ford-madox-brown_at-the-grain-harvest,amusement,Tamil
هذه صورة لزراعه في وسط غابة و هذه الح,Romanticism,ford-madox-brown_at-the-grain-harvest,contentment,Tamil
"A group of two men kneeling beside each other, a",Romanticism,francisco-goya_prison-scene,amusement,Tamil
Three men kneeling at the bottom of a dark house with,Romanticism,francisco-goya_prison-scene,sadness,Tamil
البحر فى الضياء يبدو اكثر جمالا,Impressionism,claude-monet_charing-cross-bridge-fog-on-the-themes,contentment,Tamil
Blood splashes,Cubism,lyonel-feininger_on-the-bridge-ober-weimar-1913,fear,Tamil
هذا المنظر مبهج جدا,Impressionism,arkhip-kuindzhi_evening,something else,Tamil
$,Romanticism,gustave-dore_buonconte-da-montefeltro,fear,Tamil
الظل واللون الأحمر يدل على الدفئ والامان فى,Romanticism,ivan-aivazovsky_windmills-in-the-ukrainian-steppe-at-sunset-1862,something else,Tamil
الضوء اللامع من خلال النجوم الساطعة يثير خيال,Romanticism,gustave-dore_the-poets-emerge-from-hell,amusement,Tamil
في هذه الصورة تبدو السماء سوداء جدا كأنها مسودة,Romanticism,gustave-dore_the-poets-emerge-from-hell,contentment,Tamil
بدروم حكايه قديمه من التاريخ الاسلامي,Romanticism,gustave-dore_the-poets-emerge-from-hell,amusement,Tamil
أثناء سيري في الحديقة ، وجدت الكثير من الأشجار,Realism,ivan-shishkin_forest-stream-1,contentment,Tamil
The man that looks down at the person that looks down at,Romanticism,gustave-dore_the-sculptures,amusement,Tamil
A group of people are fighting. It is dark and glo,Romanticism,gustave-dore_the-battle-of-dorylaeum,amusement,Tamil
This image shows people walking in the woods near a castle in,Romanticism,gustave-dore_puss-in-boots,amusement,Tamil
تبدو هؤلاء الأشخاص مسترخين ويستمتعون بقضاء,Romanticism,richard-parkes-bonington_beach-in-normandy,amusement,Tamil
النساء هن مهاجرون من مكان بعيد,Romanticism,richard-parkes-bonington_beach-in-normandy,amusement,Tamil
Fantastic image of a man who has been transformed in,Symbolism,william-blake_illustration-to-dante-s-divine-comedy-hell-3,fear,Tamil
It appears that two people are in the woods and they are,Symbolism,william-blake_illustration-to-dante-s-divine-comedy-hell-3,fear,Tamil
"Look at the beauty of this picture, this woman is just",Impressionism,claude-monet_camille-monet-in-the-garden-at-the-house-in-argenteuil,amusement,Tamil
The woman is standing in a garden and she is walking in,Impressionism,claude-monet_camille-monet-in-the-garden-at-the-house-in-argenteuil,something else,Tamil
The woman wears a white dress on a dark green background,Impressionism,claude-monet_camille-monet-in-the-garden-at-the-house-in-argenteuil,contentment,Tamil
يبدوا ان السماء تمطر بشدة مما جعل الجو غير,Impressionism,eugene-boudin_deauville-the-dunes,contentment,Tamil
السماء غائمة والبحر مليئ بالأعشاب الض,Impressionism,eugene-boudin_deauville-the-dunes,amusement,Tamil
هذا يبدو كمنزل في الغابة بينما في الوقت الحقيقي يبدو,Impressionism,john-singer-sargent_the-fence-1914,amusement,Tamil
هذه الصوره تعطي احساس جميل بالهدوء والفرح,Impressionism,john-singer-sargent_the-fence-1914,amusement,Tamil
A man was in the woods cutting his grass with a rope,Impressionism,john-singer-sargent_the-fence-1914,something else,Tamil
يبدو أن هذا اللوح من المفترض أن يكون لوحة في مكان,Art_Nouveau_Modern,heorhiy-narbut_illustration-to-the-crane-and-heron-bear-1907-3,something else,Tamil
The text is in Russian but it makes sense as it is,Art_Nouveau_Modern,heorhiy-narbut_illustration-to-the-crane-and-heron-bear-1907-3,amusement,Tamil
يبدو أنه كتاب عن النباتات والحيوانات وبيئة وحياة,Art_Nouveau_Modern,heorhiy-narbut_illustration-to-the-crane-and-heron-bear-1907-3,amusement,Tamil
A lonely man on a riverbank  looking at a field,Naive_Art_Primitivism,boris-kustodiev_illustration-for-nikolay-nekrasov-poem-bees-1921,something else,Tamil
Wow this seems to be some sort of spider that has just,Art_Nouveau_Modern,edmund-dulac_the-big-spider-s-diamonds-illustration-to-fairies-i-have-met,sadness,Tamil
the spider looks really cool and the colours make it look like,Art_Nouveau_Modern,edmund-dulac_the-big-spider-s-diamonds-illustration-to-fairies-i-have-met,amusement,Tamil
البحر يبدو في غاية الصفاء والنقاء مما يدل علي,Pointillism,henri-edmond-cross_the-iles-d-or-the-iles-d-hyeres-var,something else,Tamil
السماء الزرقاء، والمنزل في الغابة الخضراء،,Impressionism,claude-monet_springtime-at-giverny,contentment,Tamil
